phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7490594,https://azukisofficial.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490594,2022-04-17T17:09:57+00:00,yes,2022-04-17T17:12:51+00:00,yes,Other
7490593,http://klaim-codashop-terbaru0.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490593,2022-04-17T15:43:42+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490592,http://gratis-spin-2022.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490592,2022-04-17T15:43:11+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490591,http://gratis-spin-2022ff.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490591,2022-04-17T15:42:42+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490590,http://klaim-item-event-freefire-terbaru2022.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490590,2022-04-17T15:42:12+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490589,http://skingratisff-terbaru8721.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490589,2022-04-17T15:42:11+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490587,http://incubatorgratis3.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490587,2022-04-17T15:40:34+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490588,http://kulgarbagihadiah.duckdns.org/,http://www.phishtank.com/phish_detail.php?phish_id=7490588,2022-04-17T15:40:34+00:00,yes,2022-04-17T15:51:56+00:00,yes,Other
7490586,https://airdrop.solanart.at/,http://www.phishtank.com/phish_detail.php?phish_id=7490586,2022-04-17T15:08:58+00:00,yes,2022-04-17T15:12:58+00:00,yes,Other
7490582,https://sendlngproductuser.xyz/s/OSKYQGSu,http://www.phishtank.com/phish_detail.php?phish_id=7490582,2022-04-17T14:08:33+00:00,yes,2022-04-17T14:12:12+00:00,yes,Other
7490581,https://oix.page-dispatchgoods.xyz/0pacpffj,http://www.phishtank.com/phish_detail.php?phish_id=7490581,2022-04-17T14:08:13+00:00,yes,2022-04-17T14:12:12+00:00,yes,Other
7490579,https://inpostpl.numerid057206943.top/track73117367,http://www.phishtank.com/phish_detail.php?phish_id=7490579,2022-04-17T13:56:14+00:00,yes,2022-04-17T14:12:12+00:00,yes,Other
7490578,https://wallet-connect.com.dapppurchase.com/wallets.php,http://www.phishtank.com/phish_detail.php?phish_id=7490578,2022-04-17T13:52:13+00:00,yes,2022-04-17T14:31:40+00:00,yes,Other
7490576,https://www.auone-jp.aupay-wallet.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490576,2022-04-17T13:45:45+00:00,yes,2022-04-17T13:53:19+00:00,yes,Other
7490575,https://auone-jp.aupay-wallet.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490575,2022-04-17T13:45:27+00:00,yes,2022-04-17T13:53:19+00:00,yes,Other
7490574,https://amow-auoneo-jp.nzkqenu.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7490574,2022-04-17T13:20:26+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490573,https://sever.jp.summitstracecanton.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490573,2022-04-17T13:20:08+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490572,https://sever.jp.submarinejungle.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490572,2022-04-17T13:19:50+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490571,https://sever.jp.studio64degnorthphoto.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490571,2022-04-17T13:19:16+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490570,https://sever.jp.strikesforscholarships.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490570,2022-04-17T13:18:57+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490569,https://sever.jp.streetsmartpersonalprotection.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490569,2022-04-17T13:18:39+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490568,https://sever.jp.stopfloridaforeclosurenow.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490568,2022-04-17T13:18:21+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490567,https://sever.jp.stockincafe.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490567,2022-04-17T13:18:04+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490566,https://sever.jp.steprelation.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490566,2022-04-17T13:17:43+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490565,https://sever.jp.stluciajeeprentals.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490565,2022-04-17T13:17:25+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490564,https://sever.jp.stavergainsberg.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490564,2022-04-17T13:17:10+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490563,https://sever.jp.starwarsbluray.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490563,2022-04-17T13:16:36+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490562,https://sever.jp.startsandendwithyou.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490562,2022-04-17T13:15:56+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490561,https://sever.jp.stardustpolish.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490561,2022-04-17T13:15:36+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490560,https://sever.jp.srvcycling.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490560,2022-04-17T13:15:06+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490559,https://sever.jp.squareonesb.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490559,2022-04-17T13:14:50+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490558,https://sever.jp.springtidepaddlesports.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490558,2022-04-17T13:14:35+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490557,https://sever.jp.spiritusmundimetal.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490557,2022-04-17T13:14:14+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490556,https://sever.jp.spiritedindia.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490556,2022-04-17T13:13:57+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490555,https://auver.jp.speedsistasracing.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490555,2022-04-17T13:13:41+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490554,https://auver.jp.speedwaylanesbolivar.com/,http://www.phishtank.com/phish_detail.php?phish_id=7490554,2022-04-17T13:13:23+00:00,yes,2022-04-17T13:32:01+00:00,yes,Other
7490549,https://hansonmngt1.artdevlabs.com/music/danny/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=7490549,2022-04-17T13:01:33+00:00,yes,2022-04-17T13:12:23+00:00,yes,"Wells Fargo"
7490547,https://www.smartscapesinc.com/wp-content/welsoo/bnina/en/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7490547,2022-04-17T13:01:10+00:00,yes,2022-04-17T13:12:23+00:00,yes,Netflix
7490544,https://wp.asrofashion.com/bo/bd/SignOn/login/,http://www.phishtank.com/phish_detail.php?phish_id=7490544,2022-04-17T13:00:26+00:00,yes,2022-04-17T13:12:23+00:00,yes,"Bank of America Corporation"
7490541,http://amirparpia.com/chasebank/,http://www.phishtank.com/phish_detail.php?phish_id=7490541,2022-04-17T12:59:07+00:00,yes,2022-04-17T13:12:23+00:00,yes,"JPMorgan Chase and Co."
7490540,https://secured-update-my-info-servr4-log-in.4nmn.com/vyo/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7490540,2022-04-17T12:58:50+00:00,yes,2022-04-17T13:12:23+00:00,yes,"Wells Fargo"
7490539,https://cr52788.tmweb.ru/kilo/postal/METRI/login.php,http://www.phishtank.com/phish_detail.php?phish_id=7490539,2022-04-17T12:58:41+00:00,yes,2022-04-17T13:12:23+00:00,yes,"La Banque Postale"
7490537,http://oaklandsglobal.co.uk/.tmb/cn/,http://www.phishtank.com/phish_detail.php?phish_id=7490537,2022-04-17T12:57:57+00:00,yes,2022-04-17T13:12:23+00:00,yes,"JPMorgan Chase and Co."
7490535,http://coscointl.org/bankofamerica,http://www.phishtank.com/phish_detail.php?phish_id=7490535,2022-04-17T12:57:40+00:00,yes,2022-04-17T13:12:23+00:00,yes,"Bank of America Corporation"
7490536,https://coscointl.org/bankofamerica/,http://www.phishtank.com/phish_detail.php?phish_id=7490536,2022-04-17T12:57:40+00:00,yes,2022-04-17T13:12:23+00:00,yes,"Bank of America Corporation"
7490533,http://nutriversalhub.com/desh/,http://www.phishtank.com/phish_detail.php?phish_id=7490533,2022-04-17T12:57:10+00:00,yes,2022-04-17T13:12:23+00:00,yes,"JPMorgan Chase and Co."
7490529,http://ameliwamaldewawa.000webhostapp.com/amelisms/id/po/index_1.html,http://www.phishtank.com/phish_detail.php?phish_id=7490529,2022-04-17T12:56:05+00:00,yes,2022-04-17T13:02:48+00:00,yes,Other
7490528,https://mail.tourdeguide.com/merchant/Don/main.php,http://www.phishtank.com/phish_detail.php?phish_id=7490528,2022-04-17T12:55:42+00:00,yes,2022-04-17T13:02:48+00:00,yes,Microsoft
7490526,https://eight-lovely-fortnight.glitch.me/ei.html?/NAT_WEST_Customer.verification/error.html,http://www.phishtank.com/phish_detail.php?phish_id=7490526,2022-04-17T12:55:23+00:00,yes,2022-04-17T13:02:48+00:00,yes,"NatWest Bank"
7490525,http://pwuxmeuda.gq/loop/,http://www.phishtank.com/phish_detail.php?phish_id=7490525,2022-04-17T12:54:25+00:00,yes,2022-04-17T13:02:48+00:00,yes,Microsoft
7490522,https://kagephysicaltheatre.com/sicher-einloggen,http://www.phishtank.com/phish_detail.php?phish_id=7490522,2022-04-17T12:45:23+00:00,yes,2022-04-17T13:02:48+00:00,yes,Other
7490521,https://sparkasse-krypto-portal.com/sicher-einloggen,http://www.phishtank.com/phish_detail.php?phish_id=7490521,2022-04-17T12:45:15+00:00,yes,2022-04-17T13:02:48+00:00,yes,Other
7490520,https://bit.ly/3xsOiW5,http://www.phishtank.com/phish_detail.php?phish_id=7490520,2022-04-17T12:45:06+00:00,yes,2022-04-17T12:53:14+00:00,yes,Other
7490517,https://aiu.oinapaiy.tyqx.club/,http://www.phishtank.com/phish_detail.php?phish_id=7490517,2022-04-17T12:35:05+00:00,yes,2022-04-17T12:43:01+00:00,yes,Other
7490516,https://aiu.oinapaiy.scaqdc.club/,http://www.phishtank.com/phish_detail.php?phish_id=7490516,2022-04-17T12:34:34+00:00,yes,2022-04-17T12:43:01+00:00,yes,Other
7490515,https://aiu.oinapaiy.poscaz.club/,http://www.phishtank.com/phish_detail.php?phish_id=7490515,2022-04-17T12:34:02+00:00,yes,2022-04-17T12:43:01+00:00,yes,Other
