id,date_discovered,url
7482525,Apr 7th 2022 11:59 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjD3sORkoP3AhWVZIsKHV4-A_gYABAAGgJ0bQ&ae=2&ohost=www.google.com&cid=CAASJeRo70mx2Is4Vg1I9iopAPYxwKC4v8Kee7NWuAXpJgnW6fCSCwM&sig=AOD64_3pmttcqUbeMhqWW-zLsfEYp-OBFQ&q&adurl&ved=2ahUKEwiemL2RkoP3AhUEqFYBHWZYCmIQ0Qx6BAgDEAE?shiny
7482524,Apr 7th 2022 11:58 PM,https://0fficlal-exchan9e.com/bitFlyer-0fficial/flyer/?shiny
7482523,Apr 7th 2022 11:53 PM,https://maileraunthenticaton1.firebaseapp.com/
7482513,Apr 7th 2022 11:53 PM,http://activa.tu.cuenta.en.linea.viabcp.hoeve-te-koop.be/
7482511,Apr 7th 2022 11:51 PM,https://tax-paymentsafe.com
7482509,Apr 7th 2022 11:48 PM,https://irs.federalusaonline.com/?verify
7482508,Apr 7th 2022 11:47 PM,http://40.82.145.107?key=NR1yF
7482529,Apr 8th 2022 12:11 AM,https://openseabot.biz/
7482532,Apr 8th 2022 12:25 AM,https://verifikasi-fb-security.weebly.com/
7482531,Apr 8th 2022 12:23 AM,https://pemberitahuan-resmi.weebly.com/konfirmasi-ulang-identitas.html
7482581,Apr 8th 2022 12:51 AM,https://domaimvalidatte53.firebaseapp.com/
7482580,Apr 8th 2022 12:51 AM,https://domaimvalidatte61.web.app/
7482635,Apr 8th 2022 12:59 AM,https://newmyetherwallet.space/
7482663,Apr 8th 2022 1:12 AM,http://kddl.auto-co-jp.pebadf.club/
7482661,Apr 8th 2022 1:10 AM,https://lnkd.in/gxsUkN_z?=hMaWYn6K
7482658,Apr 8th 2022 1:07 AM,https://auto-mobile.ddns.net/
7482714,Apr 8th 2022 1:27 AM,https://diligentmemorablecomputing.somosconfianza.repl.co/
7482713,Apr 8th 2022 1:27 AM,https://kuyiudtfuktyf-dx2y9pf88v325170.codeanyapp.com/jhzhhhz/
7482709,Apr 8th 2022 1:26 AM,https://www.etcmeisain.tk/
7482718,Apr 8th 2022 1:35 AM,https://prestacashgobsd.com/
7482715,Apr 8th 2022 1:31 AM,http://foundationsolana.com
7482721,Apr 8th 2022 1:46 AM,https://pideunapreevaluac1on.interappperubankorg.live/
7482736,Apr 8th 2022 2:10 AM,https://azoamzn.co.ip.am1o2.shop/
7482734,Apr 8th 2022 2:06 AM,https://poznklna0.vip/jp
7482741,Apr 8th 2022 2:16 AM,https://gabagul.com/ff9b2fd85f681b3800/46/50-2454/1427614-109-89508
7482738,Apr 8th 2022 2:11 AM,https://ftx6.vip/
7482755,Apr 8th 2022 2:31 AM,https://fixupvalidate.com/
7482753,Apr 8th 2022 2:30 AM,https://www.mcacoecaosri.icu/
7482747,Apr 8th 2022 2:21 AM,https://bankbanbifprest1secure2org.prestbnkbif.xyz/
7482787,Apr 8th 2022 3:42 AM,http://www.100.red/?n=nitori.group
7482786,Apr 8th 2022 3:41 AM,http://nitori.group
7482785,Apr 8th 2022 3:39 AM,https://secure.oldschool.com-fi.xyz/m=weblogin/loginform975,524,653,39947465,2808
